"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		// Mode Name
		// ************************************************************************************************************************
		"addon_game_name"											"Angel Arena"
		"aa_version" 												"v0.1"
		"DOTA_GAMEMODE_15" 											"Get Ready!"

		"angeldeultimer"    										"<font color='#E8D505' size='16'>Duel will finish after %quest_current_value% seconds</font>"
		"aa_duel_5v5"												"<font color='#386BE8' size='18'>Be Prepared to Duel after each 10 min</font>"
		"dueltimerQuest"											"<font color='#E8D505' size='16'>TIME LEFT TO DUEL! %quest_current_value% seconds</font>"
		"arenawallQuest"											"Prepare To Fight in %quest_current_value% seconds"


		// TopTitle-Start Popup
		// ************************************************************************************************************************
		"aarena_instructions_title"									"Angel Arena"
		"aarena_instructions_body"									"Any suggestions or bugs please report it to steam-workshop page, Thank you and please enjoy."
		

		// Chat
		// ************************************************************************************************************************
		"DOTA_Chat_PlayerKilledGeneric" 							"<font color='#386BE8'>%s1</font> is dead! Respawn in 30 seconds"
		
		
		// Duel
		// ************************************************************************************************************************
		"custom_toast_DuelStarted"									"{time_dota}: {duel_index}th duel has started!"
		"duel_no_heroes"											"There is no enough players."
		"duel_over_winner_none" 									"The duel is over. No winner."
		"duel_over_winner_p1" 										"The duel is over. "
		"duel_over_winner_p2" 										" is the winner. All it's heroes received "
		"notifications_gold"										" Gold"
		

		// Team strings
		// ************************************************************************************************************************
		"DOTA_GoodGuysCaps"											"ANGELS"
		"DOTA_BadGuysCaps"											"DEMONES"
		"Unassigned"      											"Unassigned Team"
		"Spectator"       											"Spectator Team"
		"Neutrals"        											"Neutral Team"
		"NoTeam"          											"No Team"
		"DOTA_GoodGuys"   											"ANGELS"
		"DOTA_BadGuys"    											"DEMONES"
		

		// Winner strings
		// ************************************************************************************************************************
		"DOTA_Winner_GoodGuys"										"Angels Victory"
		"DOTA_Winner_BadGuys"										"Demones Victory"
		"DOTA_Winner_Teamname"										"%s1 Victory"
		

		// Courier
		// ************************************************************************************************************************
		"DOTA_No_Courier"											"NO Courier"
		

		// Other Units
		// ************************************************************************************************************************
		"camera_guy"                                                "Camera Guy"
		"1_wave_creep"                                              "1 Wave Creep"
		// Units
		// ************************************************************************************************************************
		"AARENA_HELL_DOG"											"Hell GateKeeper"
		"GOOD_GUYS_DEF_TOWER"										"Angel Tower"
		"npc_dota_bador_pudge"										"The Butcher"
		"bad_guys_def_tower"										"Demones Tower"
		"npc_adp_invoker"											"Adp10"
		"npc_demon_imp"												"Demon Imp"
		"player_gravestone"											"Player Gravestone"
		"npc_demon_warrior_creep"                                   "Demon Warrior Creep"
		"npc_human_bear"											"Human Bear"
		"npc_vision_dummy"                                          "Vision Dummy"
		"npc_chest_gold"                                            "Chest of Gold"
		"npc_demon_warrior"                                         "Demon Warrior"
		"npc_paimon_mini_boss"                                      "Paimon"
		"dummy_unit"                                                "Dummy Unit"
		"npc_adp_son"                                               "Adp Son"
		"npc_cny_beast"                                             "Cny Beast"
		"npc_dummy_unit"                                            "Dummy Unit"
		"npc_hero_spirit_boss"                                      "Hero Spirit"
		"npc_infernus"                                              "Infernus"
		"npc_lord_of_death_boss"                                    "Lord Of Death"
		"npc_samurai_mini_boss"                                     "Samurai"
		"dummy_unit_dajjal"                                         "Dummy Unit Dajjal"
		
		
		// Skills
		// ************************************************************************************************************************
		// ************************************************************************************************************************
		// ************************************************************************************************************************
		"DOTA_Tooltip_ability_dummy_passive"                            "Dummy Passive"
		"DOTA_Tooltip_ability_dummy_passive_Description"                ""

		"DOTA_TOOLTIP_ABILITY_SKILL_PUDGE_MEAT_HOOK"					"LEGENDARY HOOK"
		"DOTA_TOOLTIP_ABILITY_SkILL_PUDGE_MEAT_HOOK_Description"		"<font color='#ffd100'>No escape from the butcher hook at all trust me you need to give him food to slow down his movements and thinking abilities.</font>"
		"DOTA_Tooltip_ability_skill_pudge_meat_hook_hook_speed"			"<font color='#22FF00'>HOOK SPEED:</font>"
		"DOTA_Tooltip_ability_skill_pudge_meat_hook_hook_width"			"<font color='#22FF00'>HOOK WIDTH:</font>"
		"DOTA_Tooltip_ability_skill_pudge_meat_hook_hook_distance"		"<font color='#22FF00'>HOOK DISTANCE:</font>"
		"DOTA_Tooltip_ability_skill_pudge_meat_hook_vision_radius"		"<font color='#22FF00'>VISION RADIUS:</font>"
		"DOTA_Tooltip_ability_skill_pudge_meat_hook_vision_duration"	"<font color='#22FF00'>VISION DURATION:</font>"

		"DOTA_Tooltip_ability_gravestone"								"Gravestone"
		"DOTA_Tooltip_ability_gravestone_Description"					""

		"DOTA_Tooltip_ability_skill_rejuvenation"						"Rejuvenation"
		"DOTA_Tooltip_ability_skill_rejuvenation_Description"			"<font color='#ffd100'>Heals the target over %duration% sec.</font>"
		"DOTA_Tooltip_ability_skill_rejuvenation_heal_amount"       	"<font color='#22FF00'>HEAL AMOUNT:</font>"
		"DOTA_Tooltip_ability_skill_rejuvenation_duration"          	"<font color='#22FF00'>DURATION:</font>"

		"DOTA_Tooltip_ability_skill_redemption"                     	"Redemption"
		"DOTA_Tooltip_ability_skill_redemption_Description"         	"<font color='#ffd100'>Brings a dead ally back to life with HP/MP Redemption level maximum health and mana.  can be cast when in combat.</font>"
		"DOTA_Tooltip_ability_skill_redemption_hp"                  	"<font color='#22FF00'>HP:</font>"
		"DOTA_Tooltip_ability_skill_redemption_mana"                	"<font color='#22FF00'>MANA:</font>"

		"DOTA_Tooltip_ability_skill_rend_armor"                     	"Colossus Smash"
		"DOTA_Tooltip_ability_skill_rend_armor_Description"         	"<font color='#ffd100'>Smashes a target and reduce armor causes your attacks to bypass all of their armor for 12 sec. Bypasses less armor on players. Using this ability in 1 vs 1 for better chance.</font>"
		"DOTA_Tooltip_ability_skill_rend_armor_duration"            	"<font color='#22FF00'>DURATION:</font>"
		"DOTA_Tooltip_ability_skill_rend_armor_armor_reduction"     	"<font color='#22FF00'>ARMOR REDUCTION:</font>"
		//=======================================================================================================
		// Bag of Gold
		//=======================================================================================================
		"DOTA_Tooltip_ability_skill_bag_of_gold"                                          "Skill Bag Of Gold"
		"DOTA_Tooltip_ability_skill_bag_of_gold_Description"                              ""
		//=======================================================================================================
		// Bag of Gold Chest
		//=======================================================================================================
		"DOTA_Tooltip_ability_skill_bag_of_gold_chest"                                    "Skill Bag Of Gold Chest"
		"DOTA_Tooltip_ability_skill_bag_of_gold_chest_Description"                        ""
		//=======================================================================================================
		// Skill Invoker Tornado
		//=======================================================================================================
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado"                                      "Skill Invoker Tornado"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_Description"                          ""
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_travel_distance"                      "TRAVEL DISTANCE:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_levelkey"                             "LEVELKEY:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_travel_speed"                         "TRAVEL SPEED:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_area_of_effect"                       "AREA OF EFFECT:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_vision_distance"                      "VISION DISTANCE:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_end_vision_duration"                  "END VISION DURATION:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_lift_duration"                        "LIFT DURATION:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_levelkey"                             "LEVELKEY:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_base_damage"                          "BASE DAMAGE:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_quas_damage"                          "QUAS DAMAGE:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_levelkey"                             "LEVELKEY:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_wex_damage"                           "WEX DAMAGE:"
		"DOTA_Tooltip_ability_skill_aa_invoker_tornado_levelkey"                             "LEVELKEY:"

		"DOTA_Tooltip_ability_creep_respawn"                                              "Creep Respawn"
		"DOTA_Tooltip_ability_creep_respawn_Description"                                  ""

		"DOTA_Tooltip_ability_skill_unselectable"                                         "Skill Unselectable"
		"DOTA_Tooltip_ability_skill_unselectable_Description"                             ""

		"DOTA_Tooltip_ability_dummy_unit"                                                 "Dummy Unit"
		"DOTA_Tooltip_ability_dummy_unit_Description"                                     ""

		"DOTA_Tooltip_ability_guanyu_liuyuefeizhan"                                       "Guanyu Liuyuefeizhan"
		"DOTA_Tooltip_ability_guanyu_liuyuefeizhan_Description"                           ""
		"DOTA_Tooltip_ability_guanyu_liuyuefeizhan_damage"                                "DAMAGE:"

		"DOTA_Tooltip_ability_faceless_dash"                                              "Faceless Dash"
